Line_no:1:	https://rfam.org/family/RF00005#tabview=tab6
5IBB	1K	tRNA
6CAE	2y	tRNA
6HD7	B	tRNA
6LVR	B	tRNA
6OSI	XV	tRNA
6VZ3	A	tRNA
7PJU	v	tRNA
7UO1	C	tRNA
1GTS	B	tRNA
1ZO3	A	tRNA
4LT8	XV	tRNA
4V4T	AV	tRNA
4V78	A1	tRNA
4V7M	CW	tRNA
4WT1	3L	tRNA
5LMV	Z	tRNA
5X6B	P	tRNA
6BY1	AW	tRNA
6ENJ	x	tRNA
6OF6	QW	tRNA
6WDM	6	tRNA
6WNW	7	tRNA
6XQE	1x	tRNA
7LH5	AW	tRNA
7ONU	T	tRNA
7PIB	7	tRNA
8EKC	w	tRNA
1J2B	D	tRNA
1VY4	CW	tRNA
4V87	BD	tRNA
4W2F	CY	tRNA
4WRO	1L	tRNA
4WSD	3L	tRNA
5AXN	P	tRNA
5EL5	2K	tRNA
5EL7	3K	tRNA
5WE4	v	tRNA
5WIS	1y	tRNA
6OJ2	QW	tRNA
6OLI	v	tRNA
6YS3	v	tRNA
7OSM	ASIT	tRNA
7Q4K	D3	tRNA
7UQ6	B	tRNA
1O0B	B	tRNA
4V5D	AY	tRNA
4V8D	AB	tRNA
4Z3S	1x	tRNA
5CZP	XV	tRNA
5WDT	v	tRNA
6OLF	v	tRNA
6ORD	QY	tRNA
6WDM	7	tRNA
7AZS	TRNA	tRNA
7PHB	6	tRNA
8CVJ	1y	tRNA
1VY7	CY	tRNA
2DXI	D	tRNA
3CW5	A	tRNA
4V51	CW	tRNA
4V9I	AY	tRNA
5IQR	6	tRNA
5NDK	W4	tRNA
6BU8	X	tRNA
6OF6	XY	tRNA
4P6F	QV	tRNA
4V5Q	AY	tRNA
4WQ1	2L	tRNA
5IB7	3L	tRNA
5WWR	D	tRNA
6WDJ	5	tRNA
6Y57	B4	tRNA
6ZU9	1	tRNA
7PAI	7	tRNA
1LS2	B	tRNA
3AKZ	E	tRNA
4V5A	AV	tRNA
4V7B	AV	tRNA
4W2I	AX	tRNA
4WQR	3K	tRNA
4Z3S	1w	tRNA
6BUW	QV	tRNA
6HCM	23	tRNA
6YHS	6	tRNA
7LV0	5	tRNA
8CVJ	1x	tRNA
2DR2	B	tRNA
3EPL	E	tRNA
4TUD	XV	tRNA
4V7M	AX	tRNA
4V97	CW	tRNA
4WQ1	1L	tRNA
5AA0	BC	tRNA
5DFE	QV	tRNA
6ENF	x	tRNA
6OUO	5	tRNA
6T7T	6	tRNA
6UZ7	3	tRNA
6VWM	5	tRNA
6WD1	5	tRNA
6WD4	6	tRNA
6XHY	2w	tRNA
7AZS	ASIA	tRNA
2BYT	E	tRNA
4MGM	B	tRNA
4P6F	QY	tRNA
4V7A	A1	tRNA
4V8E	BC	tRNA
5EL6	2K	tRNA
5HAU	2w	tRNA
5JU8	AY	tRNA
5LZF	v	tRNA
5MC6	n	tRNA
6GSL	2L	tRNA
6HTQ	v	tRNA
6K0B	U	tRNA
6N1D	BATN	tRNA
6T4Q	7	tRNA
6WD9	6	tRNA
6WDE	7	tRNA
6XQD	2x	tRNA
7A5G	24	tRNA
7AZO	PSIA	tRNA
7K98	C	tRNA
3QSY	D	tRNA
3WFR	A	tRNA
4TZV	B	tRNA
4WU1	2L	tRNA
4YPB	XW	tRNA
5J4C	2w	tRNA
6AZ1	2	tRNA
6WDC	7	tRNA
6XHY	2x	tRNA
7F36	H	tRNA
7NRD	Sm	tRNA
1QU3	T	tRNA
1VY7	AX	tRNA
2BTE	E	tRNA
3EPH	F	tRNA
3JAP	1	tRNA
4W2E	w	tRNA
4WU1	3K	tRNA
6IP5	zu	tRNA
6OT3	5	tRNA
6WD3	5	tRNA
7NRC	Sn	tRNA
7NSQ	v	tRNA
7RQ9	1w	tRNA
2DXI	C	tRNA
2ZXU	C	tRNA
3EPJ	F	tRNA
3L0U	A	tRNA
4V8D	AC	tRNA
4V8X	CW	tRNA
5GAK	A	tRNA
6BOK	D	tRNA
6BZ8	XV	tRNA
6OM7	v	tRNA
6ZM5	x	tRNA
7KA0	F	tRNA
7VNV	A	tRNA
4V4W	AW	tRNA
4V5G	AW	tRNA
4V5K	CW	tRNA
4V63	CY	tRNA
4V87	BC	tRNA
4WSM	2L	tRNA
5E81	1L	tRNA
5NP6	B	tRNA
5UYN	W	tRNA
6ND5	1x	tRNA
6OF6	XV	tRNA
6WD3	7	tRNA
6WD7	6	tRNA
6ZM5	w	tRNA
7PJW	w	tRNA
7PJZ	v	tRNA
8CVJ	2x	tRNA
4V5R	CV	tRNA
4V7L	CX	tRNA
4WPO	BX	tRNA
4WRO	2L	tRNA
5HD1	1x	tRNA
5ME1	X	tRNA
5W4K	2y	tRNA
6QNR	3L	tRNA
6XII	A	tRNA
7OIG	z	tRNA
7PIP	7	tRNA
1VY7	AY	tRNA
2CV2	D	tRNA
4TUB	XV	tRNA
4V5S	AW	tRNA
4V7J	Av	tRNA
4V8Y	CW	tRNA
4YYE	C	tRNA
5E7K	1L	tRNA
5EL4	3L	tRNA
5OA3	1	tRNA
5U4J	x	tRNA
6GSK	2K	tRNA
6ZTN	AZ	tRNA
7ASA	2	tRNA
7M4Y	v	tRNA
7O1C	B8	tRNA
7SA4	5	tRNA
8CVK	1x	tRNA
2CSX	C	tRNA
3J0L	V	tRNA
3J92	2	tRNA
4KZZ	j	tRNA
4V66	AP	tRNA
4V8N	CV	tRNA
4WPO	DW	tRNA
4WQR	2L	tRNA
4WRO	2K	tRNA
4ZSN	QV	tRNA
5IB7	1K	tRNA
6I0Y	V	tRNA
6LVR	D	tRNA
6OJ2	XV	tRNA
6YAN	1	tRNA
6Z6L	CC	tRNA
7F36	E	tRNA
8B0X	Z	tRNA
2DU4	C	tRNA
3WC1	Q	tRNA
4V5K	AW	tRNA
4V9B	AD	tRNA
4V9R	CX	tRNA
4WQR	1L	tRNA
4WR6	2K	tRNA
5NDJ	X1	tRNA
5WE6	w	tRNA
6BY1	BV	tRNA
6V3A	v	tRNA
6VYW	B	tRNA
7SSD	5	tRNA
7U2H	1x	tRNA
2BYT	B	tRNA
3J0L	Y	tRNA
4LFZ	QV	tRNA
4V7K	Bw	tRNA
4WSM	3K	tRNA
5KPW	30	tRNA
5NDK	W1	tRNA
5WE4	w	tRNA
6DNC	LA	tRNA
6HA1	x	tRNA
6O97	1y	tRNA
6WDK	5	tRNA
7U2I	2w	tRNA
4V6Z	A1	tRNA
4V7C	AV	tRNA
4V97	CY	tRNA
4WZO	2K	tRNA
5D8B	ED	tRNA
5J30	XV	tRNA
5KCS	1x	tRNA
5WWT	C	tRNA
6BY1	BW	tRNA
6NUO	QV	tRNA
7A5K	24	tRNA
7AQC	P	tRNA
7O5B	U	tRNA
1J2B	C	tRNA
2NR0	E	tRNA
3WC2	Q	tRNA
4V6O	AD	tRNA
5D8B	BD	tRNA
5E7K	1K	tRNA
6GSJ	1K	tRNA
6QNQ	1K	tRNA
6UCQ	1x	tRNA
6UO1	1y	tRNA
6XDR	A	tRNA
7AC7	7	tRNA
7CPJ	9	tRNA
7PIP	6	tRNA
1GSG	T	tRNA
1JGQ	C	tRNA
2CV0	C	tRNA
2ZM5	C	tRNA
3J46	a	tRNA
3TRA	A	tRNA
4V4V	AV	tRNA
4V4X	AD	tRNA
4V4Y	AC	tRNA
5F8K	1x	tRNA
5UYM	X	tRNA
6GSK	1L	tRNA
6OM6	5	tRNA
6YAM	1	tRNA
6YTF	7	tRNA
7A5H	24	tRNA
7NQL	BB	tRNA
7Q0R	10	tRNA
486D	A	tRNA
4V4W	AV	tRNA
4V8C	CB	tRNA
4WPO	DX	tRNA
4YPB	XV	tRNA
5TCU	D	tRNA
5VP2	1y	tRNA
6GZ3	Bv	tRNA
6XHW	1x	tRNA
6ZTO	AX	tRNA
7D80	Z	tRNA
7ZAG	4	tRNA
8CVJ	1w	tRNA
8EKB	2x	tRNA
4L71	XV	tRNA
4LT8	QV	tRNA
4P6F	XY	tRNA
4V5G	AY	tRNA
5W4K	1x	tRNA
6GZ5	Bv	tRNA
6R6G	2	tRNA
6XHW	1y	tRNA
1WZ2	D	tRNA
4TZZ	B	tRNA
4V95	AV	tRNA
4W2G	CY	tRNA
4WR6	1L	tRNA
5E7K	3L	tRNA
5IB7	2L	tRNA
5NDK	V1	tRNA
5UYK	Y	tRNA
6OM0	v	tRNA
6R87	B	tRNA
6UFH	B	tRNA
6XHW	2w	tRNA
6XHY	1y	tRNA
7A5F	C	tRNA
7PJV	v	tRNA
7QV2	x	tRNA
8CVJ	2w	tRNA
1TTT	D	tRNA
3EP2	Y	tRNA
4ARI	B	tRNA
4V4R	AV	tRNA
4V7L	CY	tRNA
4V8X	AW	tRNA
4Y4P	1x	tRNA
4Z3S	2x	tRNA
5LZW	2	tRNA
5MDW	5	tRNA
5UQ8	y	tRNA
7NSJ	BB	tRNA
7OLD	5	tRNA
7PIC	8	tRNA
7U2J	1y	tRNA
7ZQ6	M	tRNA
4P70	QV	tRNA
4V5P	CW	tRNA
5JTE	AX	tRNA
5LZU	2	tRNA
5M1J	A3	tRNA
5MGP	x	tRNA
6Q95	7	tRNA
6YSR	w	tRNA
7D6Z	4	tRNA
7LH5	CY	tRNA
1ASY	S	tRNA
1EIY	C	tRNA
3A2K	C	tRNA
4JXX	B	tRNA
4LNT	XV	tRNA
4YCP	B	tRNA
5AA0	BE	tRNA
5HR7	D	tRNA
5J4D	IA	tRNA
5LZV	3	tRNA
5NDK	V4	tRNA
5U4I	x	tRNA
5UQ8	z	tRNA
5WIT	2w	tRNA
6WDC	5	tRNA
6WOO	3	tRNA
6ZMO	CB	tRNA
7D80	X	tRNA
7P7Q	D	tRNA
7U2H	2y	tRNA
3J7R	S5	tRNA
4L47	XV	tRNA
4QEI	C	tRNA
4V4Z	AD	tRNA
4V6L	AE	tRNA
4V7M	AY	tRNA
4WC4	B	tRNA
4WJ3	Q	tRNA
4WR6	2L	tRNA
5WF0	v	tRNA
6VU3	B	tRNA
6WD6	6	tRNA
7O19	B8	tRNA
7QI4	Ax	tRNA
8CTI	C	tRNA
1VY5	AX	tRNA
1YFG	A	tRNA
2ZZN	D	tRNA
4V5D	CY	tRNA
4V8F	BB	tRNA
4V9L	CW	tRNA
5LZX	2	tRNA
5WT3	C	tRNA
6NDK	XV	tRNA
6VYQ	A	tRNA
6YAL	1	tRNA
7MT7	y	tRNA
7PAO	8	tRNA
7PIT	7	tRNA
7RQ9	1x	tRNA
1H4S	T	tRNA
4V68	AV	tRNA
4V8J	CV	tRNA
4Y4P	1y	tRNA
5EL4	2K	tRNA
5ON2	B	tRNA
6CFJ	2w	tRNA
6R6P	3	tRNA
6ZME	CC	tRNA
7A5G	C	tRNA
7P3K	V	tRNA
7PAR	7	tRNA
3JBV	V	tRNA
4V5Q	AV	tRNA
4V6L	AB	tRNA
4V8D	AD	tRNA
4WPO	BW	tRNA
4X0B	B	tRNA
5IB7	1L	tRNA
5IMR	4	tRNA
5ON3	E	tRNA
5UYQ	Y	tRNA
7A5J	G	tRNA
4KR3	C	tRNA
4W2I	AW	tRNA
5AA0	BD	tRNA
5EL7	1L	tRNA
5UYP	W	tRNA
6BZ8	XW	tRNA
7NHN	D	tRNA
7PAJ	6	tRNA
7PI9	6	tRNA
3JCE	8	tRNA
4V75	A3	tRNA
5HC9	C	tRNA
5J8B	x	tRNA
5MMM	z	tRNA
5VP2	2y	tRNA
6OF1	1w	tRNA
6OTR	QW	tRNA
6UO1	1x	tRNA
6WDD	6	tRNA
6WDG	5	tRNA
6XHV	1y	tRNA
6YSI	6	tRNA
7PIA	7	tRNA
4V4S	AW	tRNA
4V6K	BB	tRNA
5B63	D	tRNA
5E7K	3K	tRNA
5EL7	2L	tRNA
6BU8	W	tRNA
6GSM	1	tRNA
6OXA	QW	tRNA
6SZS	x	tRNA
6VZ7	B	tRNA
6WDB	6	tRNA
7K53	5	tRNA
7K54	6	tRNA
7QV3	H	tRNA
7RQ8	2x	tRNA
1I9V	A	tRNA
1IVS	D	tRNA
1QF6	B	tRNA
2CT8	C	tRNA
3V11	D	tRNA
4V5D	AV	tRNA
4V6Y	A3	tRNA
4V8N	AW	tRNA
4WQF	BW	tRNA
5EL6	2L	tRNA
6B4V	IA	tRNA
6HCQ	q3	tRNA
6XGF	B	tRNA
7MT7	x	tRNA
7PH9	7	tRNA
7RQ8	1x	tRNA
8EKB	1x	tRNA
3J9Y	v	tRNA
3WFR	B	tRNA
4V51	CY	tRNA
4W2G	AW	tRNA
5E6M	C	tRNA
5EL6	3K	tRNA
5LZD	v	tRNA
5VP2	1w	tRNA
6R5Q	3	tRNA
6VYW	A	tRNA
6VYZ	A	tRNA
7K00	Z	tRNA
2D6F	E	tRNA
2ZXU	D	tRNA
3AMU	B	tRNA
4TZP	B	tRNA
4V42	AD	tRNA
4V71	A3	tRNA
4V7K	Aw	tRNA
5KPV	30	tRNA
5LZY	3	tRNA
6GQV	AY	tRNA
6WB1	D	tRNA
6ZTP	AW	tRNA
7N2U	Pt	tRNA
7QGH	u	tRNA
7SSW	6	tRNA
7SYX	i	tRNA
7UG7	Pt	tRNA
4AQ7	E	tRNA
4V5G	CV	tRNA
4V8F	BD	tRNA
5AH5	C	tRNA
5J4B	2w	tRNA
6ND6	1w	tRNA
6ORD	QV	tRNA
6VYU	A	tRNA
6XQE	2x	tRNA
6Y0G	D4	tRNA
7KJT	A	tRNA
3A2K	D	tRNA
3JAH	2	tRNA
4LEL	XV	tRNA
4V4T	AW	tRNA
4V9K	CW	tRNA
4W2H	CY	tRNA
5UQ7	z	tRNA
5W4K	1w	tRNA
6OLZ	Bv	tRNA
6XDQ	A	tRNA
6ZJ3	S2	tRNA
7A5I	99	tRNA
7RQ8	2y	tRNA
7RQ9	2x	tRNA
8CVK	1y	tRNA
4TZZ	K	tRNA
4V87	CD	tRNA
4Z3S	2w	tRNA
6OLI	u	tRNA
6WB0	D	tRNA
6XHV	2x	tRNA
3JAJ	3	tRNA
4V5Q	CY	tRNA
4V72	A3	tRNA
5JTE	AY	tRNA
5NDK	X1	tRNA
6QNQ	3L	tRNA
6WD8	5	tRNA
6XDR	B	tRNA
7AZO	PSIB	tRNA
7N2U	Dt	tRNA
7PAQ	8	tRNA
7SSN	5	tRNA
7TUT	q	tRNA
8CVK	2y	tRNA
3JCD	9	tRNA
4WC3	B	tRNA
4WQ1	3K	tRNA
5HAU	1w	tRNA
5J4C	1w	tRNA
6C5L	CW	tRNA
6DNC	D	tRNA
6R6P	2	tRNA
7O80	AT	tRNA
7QP7	w	tRNA
7QVP	B4	tRNA
3AL0	E	tRNA
4V97	CV	tRNA
4V9B	AC	tRNA
4V9I	CY	tRNA
4V9Q	DV	tRNA
5O61	BW	tRNA
5WDT	w	tRNA
5WIS	2y	tRNA
5WIT	2x	tRNA
6H4N	w	tRNA
6N1D	APTN	tRNA
6OLE	u	tRNA
6T83	6b	tRNA
6WDA	6	tRNA
7AS9	2	tRNA
7EQJ	A	tRNA
7QGG	u	tRNA
1FIR	A	tRNA
2FMT	C	tRNA
3JAG	3	tRNA
4V6N	BB	tRNA
4V6P	AB	tRNA
4V7K	Bv	tRNA
4WT8	C2	tRNA
5CCB	N	tRNA
5J4D	NC	tRNA
6GSL	3L	tRNA
6ND5	2x	tRNA
6OLG	Bv	tRNA
6WD6	7	tRNA
7AZS	ASIB	tRNA
7LV0	6	tRNA
7Q0P	10	tRNA
1QZB	B	tRNA
1U0B	A	tRNA
2DER	D	tRNA
3J9Z	S7	tRNA
4V4I	0	tRNA
4V8F	CB	tRNA
4WQF	BY	tRNA
4WRO	1K	tRNA
5D8B	FD	tRNA
6OF6	QY	tRNA
7SSO	5	tRNA
2CV0	D	tRNA
4JXZ	B	tRNA
4V4J	z	tRNA
4V4V	AU	tRNA
4V5S	CY	tRNA
4V76	A3	tRNA
4V9D	BV	tRNA
5LZA	v	tRNA
5ME0	X	tRNA
5NDJ	W4	tRNA
6Y0G	B4	tRNA
6ZTL	AX	tRNA
7PIQ	7	tRNA
7ZW0	sl	tRNA
1VY4	AW	tRNA
1WZ2	C	tRNA
3WFS	B	tRNA
4W2F	AY	tRNA
4WC2	B	tRNA
4WC6	B	tRNA
5KPV	31	tRNA
5KPX	32	tRNA
5MDV	5	tRNA
5UYL	X	tRNA
6VYX	B	tRNA
6WDL	5	tRNA
6YSS	w	tRNA
7KA0	C	tRNA
7O81	AT	tRNA
1EFW	C	tRNA
1GAX	D	tRNA
1JGP	D	tRNA
1MJ1	C	tRNA
3WFR	C	tRNA
4V72	A1	tRNA
4V74	A3	tRNA
4W2I	CW	tRNA
4WRO	3L	tRNA
5HCR	2x	tRNA
5IB7	3K	tRNA
5MDZ	5	tRNA
6R5Q	2	tRNA
6TNU	m	tRNA
7K98	F	tRNA
7QV1	H	tRNA
7U2H	2w	tRNA
8EG0	C	tRNA
3WQZ	C	tRNA
4V6S	BC	tRNA
4V9I	AV	tRNA
5E6M	E	tRNA
5E81	3K	tRNA
6BZ8	QW	tRNA
6MTC	4	tRNA
6UO1	2w	tRNA
6VYX	A	tRNA
6YS5	7	tRNA
7OIA	z	tRNA
2CT8	D	tRNA
4V7C	AW	tRNA
4V7J	Bv	tRNA
4V8C	DC	tRNA
4V97	AW	tRNA
5H5U	5	tRNA
5LMR	Z	tRNA
5UQ7	y	tRNA
5ZLU	DD	tRNA
6XA1	Bv	tRNA
3TUP	T	tRNA
4LNT	QV	tRNA
4V6U	A0	tRNA
4WZO	3K	tRNA
6OPE	QV	tRNA
6Q95	8	tRNA
6VZ5	B	tRNA
6ZTO	AW	tRNA
7PAK	7	tRNA
7PAM	8	tRNA
7PHA	7	tRNA
7SYW	i	tRNA
4CXH	Y	tRNA
4MGN	B	tRNA
4V5C	CW	tRNA
4V5R	AW	tRNA
4V8E	BD	tRNA
4WSM	2K	tRNA
5CCX	N	tRNA
5E81	1K	tRNA
5E81	3L	tRNA
5J4B	1w	tRNA
6GSK	3L	tRNA
7LH5	CW	tRNA
7QGN	A	tRNA
1ASZ	R	tRNA
1C0A	B	tRNA
1SZ1	E	tRNA
1VY5	CY	tRNA
3J7R	S6	tRNA
4P70	XV	tRNA
4V48	A6	tRNA
4W29	CW	tRNA
5ZEP	w	tRNA
6ND6	2w	tRNA
6OF1	2x	tRNA
6ZP4	1	tRNA
6ZTN	AW	tRNA
2NRE	F	tRNA
4V6W	BC	tRNA
4V8C	CC	tRNA
4WC7	B	tRNA
5KPX	31	tRNA
5LZS	2	tRNA
5NDJ	X4	tRNA
6AH3	T	tRNA
6CAE	1y	tRNA
7M5D	5	tRNA
1QRS	B	tRNA
2DU6	D	tRNA
2ZZM	B	tRNA
3WFR	D	tRNA
4TUC	QV	tRNA
4V6F	CD	tRNA
4V6G	CD	tRNA
4V8E	DD	tRNA
4WJ3	R	tRNA
6BOK	LC	tRNA
6ND5	2y	tRNA
6O9J	v	tRNA
6OGI	5	tRNA
6Q8Y	n	tRNA
6VZ3	B	tRNA
6XGF	A	tRNA
7P7T	C	tRNA
7ST6	5	tRNA
8ASW	X	tRNA
1EG0	O	tRNA
2FK6	R	tRNA
2MS0	B	tRNA
486D	C	tRNA
4UJC	AA	tRNA
4V5P	AV	tRNA
4V65	AE	tRNA
4V6F	CC	tRNA
4V7J	Aw	tRNA
4V8C	DD	tRNA
4V95	CV	tRNA
4WT8	D3	tRNA
5JTE	AW	tRNA
5MC6	m	tRNA
6BY1	AY	tRNA
6IP5	zy	tRNA
6N9F	1x	tRNA
6OJ2	XY	tRNA
6VYZ	B	tRNA
1TTT	E	tRNA
4TUA	QV	tRNA
4V42	AB	tRNA
4V4P	BB	tRNA
4V9N	CW	tRNA
4W2I	CX	tRNA
4WRA	1K	tRNA
4WRA	2K	tRNA
4WRA	2L	tRNA
5AJ0	Bw	tRNA
5LZV	2	tRNA
5UYK	W	tRNA
5VPP	QV	tRNA
6HTQ	w	tRNA
6N9E	2x	tRNA
6QNR	2L	tRNA
6WD9	5	tRNA
7PAK	6	tRNA
7RQ8	1w	tRNA
8AP4	Z	tRNA
3JAQ	1	tRNA
4V68	AW	tRNA
4W2G	CX	tRNA
4WT8	DV	tRNA
5EL7	1K	tRNA
5L3P	x	tRNA
6O3M	XV	tRNA
6WDH	6	tRNA
7AZS	ESIB	tRNA
7LS1	n2	tRNA
7MDZ	2	tRNA
7U2J	1w	tRNA
7ZP8	v	tRNA
2NR0	F	tRNA
4V4W	AU	tRNA
4V69	AY	tRNA
4V8F	CC	tRNA
5E81	2L	tRNA
5EL5	3L	tRNA
5IB8	3L	tRNA
5YYN	B	tRNA
6ENJ	9	tRNA
6OSK	5	tRNA
6XHY	2y	tRNA
6XQD	1x	tRNA
6Z6N	CC	tRNA
7LH5	CV	tRNA
7PAM	6	tRNA
7U2I	1x	tRNA
7U2I	1y	tRNA
3EPL	F	tRNA
4TUA	XV	tRNA
4V63	AY	tRNA
4V9A	AC	tRNA
4V9R	AX	tRNA
4W2G	AY	tRNA
4WQU	DY	tRNA
5J8B	w	tRNA
6ND6	2x	tRNA
6R6G	3	tRNA
6Y3G	F	tRNA
7K53	6	tRNA
7PIS	8	tRNA
7SS9	5	tRNA
8CVK	1w	tRNA
1TN1	A	tRNA
2ZZN	C	tRNA
4V5C	AY	tRNA
4V5P	AW	tRNA
4V63	CZ	tRNA
4V9D	AV	tRNA
4V9H	AV	tRNA
4V9Q	DW	tRNA
4W4G	QV	tRNA
5LZU	3	tRNA
5WDT	y	tRNA
5WFK	y	tRNA
6ND6	2y	tRNA
6XHV	1x	tRNA
6XII	B	tRNA
7F36	G	tRNA
7LH5	AY	tRNA
7PJS	v	tRNA
7PJV	w	tRNA
4V4S	AV	tRNA
4V8M	AB	tRNA
4WQU	BW	tRNA
5LZB	v	tRNA
6B4V	HB	tRNA
6CFJ	1y	tRNA
6OLF	u	tRNA
6UCQ	2x	tRNA
6WD9	7	tRNA
6X7K	A	tRNA
7A5I	94	tRNA
7EQJ	B	tRNA
7K50	5	tRNA
7MSM	y	tRNA
7PAH	8	tRNA
7ZOD	v	tRNA
2IY5	T	tRNA
4UG0	S6	tRNA
4WSM	1L	tRNA
5AXM	P	tRNA
5IB8	2L	tRNA
5LMQ	Z	tRNA
5LMT	Z	tRNA
6AZ1	3	tRNA
6AZ1	4	tRNA
6CFJ	1x	tRNA
6OPE	QY	tRNA
6WDH	7	tRNA
6ZTN	AX	tRNA
7P7R	D	tRNA
1OB5	F	tRNA
2D6F	F	tRNA
3Q1Q	C	tRNA
4V5Z	BZ	tRNA
4V7E	Ae	tRNA
4V7L	AW	tRNA
4V8X	CV	tRNA
4WRA	1L	tRNA
5J4C	1y	tRNA
5W4K	2w	tRNA
6GB2	BB	tRNA
6O97	2x	tRNA
6SV4	nc	tRNA
6WDJ	6	tRNA
6YDW	AA	tRNA
6YDW	AA	tRNA
6YDW	AA	tRNA
6YDW	AA	tRNA
6YDW	AA	tRNA
6YDW	AA	tRNA
7K54	5	tRNA
7PAJ	8	tRNA
7PJY	w	tRNA
7SSW	5	tRNA
2AZX	C	tRNA
4ARC	B	tRNA
4V73	A3	tRNA
4V8D	CD	tRNA
4V9J	AW	tRNA
5HR7	C	tRNA
6CFJ	2y	tRNA
6FTI	q	tRNA
6VWL	5	tRNA
6YWX	bb	tRNA
7O7Z	AT	tRNA
1EXD	B	tRNA
1IL2	C	tRNA
1QRU	B	tRNA
2OM7	M	tRNA
4V5G	CY	tRNA
4V7L	CW	tRNA
4V8E	DB	tRNA
4WJ3	S	tRNA
4WQY	DX	tRNA
4WT1	2L	tRNA
5EL6	3L	tRNA
5NDJ	V1	tRNA
5U9G	X	tRNA
6OF6	QV	tRNA
6T7I	7	tRNA
6T7T	7	tRNA
6WDB	7	tRNA
7K9M	C	tRNA
1OB5	B	tRNA
2DEU	C	tRNA
3JCJ	v	tRNA
4V6Q	AB	tRNA
4V7D	BW	tRNA
4V8O	AV	tRNA
4WJ4	B	tRNA
5AJ0	Bv	tRNA
5HCQ	1x	tRNA
5IB8	3K	tRNA
5J3C	QV	tRNA
6GXN	x	tRNA
6XDQ	B	tRNA
7MT2	y	tRNA
7SSO	6	tRNA
7ST6	6	tRNA
8CVL	1w	tRNA
2CSX	D	tRNA
4P6F	QW	tRNA
4W2F	CW	tRNA
5J4B	2y	tRNA
5ON2	E	tRNA
6GQ1	AX	tRNA
6VYY	A	tRNA
6YSI	8	tRNA
7OT5	z	tRNA
1FCW	E	tRNA
3KFU	M	tRNA
4V6Y	A1	tRNA
4V9N	AW	tRNA
5UYP	Y	tRNA
6CAE	2w	tRNA
6CFJ	1w	tRNA
6HD7	A	tRNA
6I7O	mb	tRNA
6O7K	v	tRNA
7B5K	z	tRNA
7JSW	5	tRNA
3AKZ	H	tRNA
4V6A	AW	tRNA
4V7M	CX	tRNA
4V9B	CD	tRNA
4V9S	AX	tRNA
5UYM	Y	tRNA
6BOH	IA	tRNA
6O97	2w	tRNA
6Q97	8	tRNA
6UGG	B	tRNA
7PJX	v	tRNA
7R81	u1	tRNA
8APN	C1	tRNA
1H3E	B	tRNA
1N77	D	tRNA
3DEG	A	tRNA
3J0P	Y	tRNA
3WC2	P	tRNA
3WFQ	B	tRNA
4V4X	AC	tRNA
4V8J	CW	tRNA
5EL6	1L	tRNA
5J4C	2y	tRNA
6XHW	2x	tRNA
7A5I	X	tRNA
7SYT	i	tRNA
3J78	PT	tRNA
4LSK	QV	tRNA
4UJD	BA	tRNA
4V4P	BC	tRNA
4V6Z	A3	tRNA
4V8Z	CW	tRNA
5MDY	5	tRNA
6GQB	AX	tRNA
6W6L	u	tRNA
6WB2	D	tRNA
6WDD	7	tRNA
6WDF	5	tRNA
7P7T	D	tRNA
3J0O	Y	tRNA
4V4Y	AB	tRNA
4V77	A1	tRNA
4WQF	DW	tRNA
4WZO	2L	tRNA
5ONH	E	tRNA
5TCU	E	tRNA
6FRK	2	tRNA
6GWT	x	tRNA
6OXA	QV	tRNA
6VYT	B	tRNA
6WDI	5	tRNA
7B5K	9	tRNA
7E8O	X	tRNA
1N77	C	tRNA
4V4N	B1	tRNA
4W2H	AY	tRNA
4WPO	DY	tRNA
6C5L	AW	tRNA
6FEC	N	tRNA
6YDW	BB	tRNA
6ZJ3	S3	tRNA
7JQM	2x	tRNA
7K51	6	tRNA
7PAJ	7	tRNA
7PJT	v	tRNA
1ML5	B	tRNA
4V7D	BV	tRNA
4W4G	XW	tRNA
5J8B	y	tRNA
6O3M	QV	tRNA
6OM0	u	tRNA
6WD2	6	tRNA
6XZB	g2	tRNA
7AZS	PSIA	tRNA
7D6Z	2	tRNA
7PI9	7	tRNA
7QGR	M	tRNA
7QVP	CC	tRNA
7RYG	v	tRNA
Line_no:2:	https://rfam.org/family/RF00001#tabview=tab6
1ML5	b	5S ribosomal RNA
1NWX	9	5S ribosomal RNA
4V52	BA	5S ribosomal RNA
4V85	BB	5S ribosomal RNA
4V8I	DB	5S ribosomal RNA
4V8Y	B7	5S ribosomal RNA
4W2E	B	5S ribosomal RNA
4YZV	YB	5S ribosomal RNA
4Z3S	2B	5S ribosomal RNA
5APO	7	5S ribosomal RNA
5DGV	3	5S ribosomal RNA
5JUU	D	5S ribosomal RNA
5LZB	B	5S ribosomal RNA
5M1J	34	5S ribosomal RNA
5MEI	AS	5S ribosomal RNA
6BOK	FB	5S ribosomal RNA
6H58	B	5S ribosomal RNA
6IP5	1B	5S ribosomal RNA
6O3M	RB	5S ribosomal RNA
7CPJ	B	5S ribosomal RNA
1YIT	9	5S ribosomal RNA
3JBO	AB	5S ribosomal RNA
4V76	BB	5S ribosomal RNA
4V8B	DB	5S ribosomal RNA
5E81	16	5S ribosomal RNA
5GAE	B	5S ribosomal RNA
5J30	RB	5S ribosomal RNA
5J5B	DB	5S ribosomal RNA
